ID,Name,Age,Gender,DOB,City,Country,Income,Income_in_thousands,Marital_Status,Employment_Status,Num_Children,Education_Level,Health_Status,Height,Weight,BMI,Has_DL,Owns_Vehicle,Blood_Group,Smoker,Alcohol_Consumption,Last_Physical_Checkup,Email,Phone_Number,Allergies,Credit_Score,Life_Insurance,Health_Insurance
3107,"Brian Bauer",59,Non-binary,1966-07-02,Chicago,"United States",144793.83,144.79,Divorced,Employed,0,Master,Poor,1.65,90.20,33.13,1,0,O+,1,Occasionally,2020-09-02,brian.bauer@gmail.com,+19518769098,Shellfish,445,0,1
3108,"Jodi Coleman",22,Female,2003-06-26,Munich,Germany,80971.78,80.97,Single,Employed,0,"High School",Good,1.66,117.25,42.55,1,0,B+,0,Never,2020-01-06,NULL,+494077412407,Nuts,437,0,0
3109,"Jeffrey Abbott",26,Male,1999-10-08,Birmingham,"United Kingdom",43199.10,43.20,Widowed,Self-employed,1,Master,Good,1.68,59.63,21.13,0,0,B-,1,Never,2020-08-06,jeffrey.abbott@outlook.com,+446875364489,Pollen,751,0,0
3110,"Sharon Collins",72,Non-binary,1953-11-11,Osaka,Japan,66748.81,66.75,Married,Retired,0,Bachelor,Poor,1.64,96.75,35.97,1,1,B+,1,Never,2020-10-09,NULL,+813954930052,Nuts,497,1,1
3111,"Becky Jimenez",35,Female,1990-10-17,"Saint Petersburg",Russia,78326.26,78.33,Divorced,Employed,0,Bachelor,Poor,1.93,116.83,31.36,0,0,AB-,1,Never,2020-08-25,becky.jimenez@yahoo.com,+71564251369,Pollen,433,1,1
3112,"Marvin Bennett",60,Male,1965-05-19,Hamburg,Germany,106298.97,106.30,Married,Retired,3,Master,Good,1.94,93.94,24.96,1,1,O+,0,Occasionally,2021-03-26,marvin.bennett@hotmail.com,+491032719306,Dairy,328,0,1
3113,"Jessica Jones",70,Female,1955-12-17,"Abu Dhabi","United Arab Emirates",96822.64,96.82,Widowed,Retired,5,Bachelor,Good,1.70,80.66,27.91,0,0,AB-,1,Rarely,2022-03-31,jessica.jones@hotmail.com,+971405055955,Pollen,312,1,0
3114,"Antonio Freeman",38,Male,1987-09-19,London,"United Kingdom",105236.89,105.24,Divorced,Unemployed,1,PhD,Poor,1.60,109.72,42.86,1,0,AB-,0,Often,2020-08-15,antonio.freeman@gmail.com,+441055583987,None,623,1,1
3115,"Robert Waters",74,Male,1951-09-10,Osaka,Japan,41470.27,41.47,Married,Retired,2,PhD,Excellent,1.83,58.01,17.32,1,1,A+,1,Never,2022-09-23,robert.waters@hotmail.com,+815415181854,Dairy,802,1,0
3116,"Natalie Evans",60,Female,1965-09-12,Shanghai,China,131978.49,131.98,Widowed,Retired,4,Bachelor,Good,NULL,92.28,NULL,1,NULL,A-,1,Occasionally,2023-02-02,natalie.evans@outlook.com,+8690704650851,Pollen,623,1,1
3117,"Jeremiah Drake",66,Male,1959-11-27,"Los Angeles","United States",63135.92,63.14,Single,Retired,0,Master,Fair,1.69,60.01,21.01,1,0,AB+,0,Occasionally,2022-02-27,jeremiah.drake@hotmail.com,+19895890198,Nuts,649,1,1
3118,"Patricia Davis",74,"Prefer not to say",1951-02-19,Mumbai,India,88645.48,88.65,Divorced,Retired,3,NULL,Poor,1.60,105.89,41.36,0,0,O+,0,Never,2021-12-13,patricia.davis@hotmail.com,+912320796476,None,494,1,0
3119,"William Harris",26,Male,1999-05-26,Houston,"United States",122549.18,122.55,Widowed,Self-employed,4,NULL,Poor,1.82,92.30,27.86,0,0,B+,0,Often,2023-01-23,william.harris@hotmail.com,+10075081845,None,440,0,0
3120,"Robert Hopkins",47,Male,1978-12-02,Houston,"United States",140530.06,140.53,Single,Employed,0,Master,Excellent,1.83,58.58,17.49,1,0,AB+,1,Often,2023-08-10,robert.hopkins@outlook.com,+15967160187,Pollen,598,1,0
3121,"Richard Bennett",36,Non-binary,1989-09-02,Sydney,Australia,129586.95,129.59,Divorced,Employed,0,Bachelor,Good,1.78,80.14,25.29,1,1,AB-,1,Occasionally,2020-10-11,richard.bennett@outlook.com,+61278911552,Shellfish,457,0,0
3122,"Johnny Beck",26,Male,1999-08-25,Milan,Italy,139707.60,139.71,Divorced,Unemployed,0,Master,Good,1.74,75.92,25.08,1,0,A+,1,Rarely,2020-06-28,johnny.beck@yahoo.com,+396177450059,Dairy,357,0,1
3123,"Roger Stephens",26,Male,1999-08-09,Delhi,India,60196.69,60.20,Widowed,Unemployed,3,Bachelor,Poor,1.52,114.27,49.46,0,0,O+,0,Often,2020-11-10,roger.stephens@yahoo.com,+910941903823,None,601,0,1
3124,"Amy Barrett",52,Non-binary,1973-03-15,Moscow,Russia,135912.98,135.91,Widowed,Self-employed,2,PhD,Excellent,1.87,78.05,22.32,1,0,A+,0,Rarely,2023-04-26,NULL,+75289254463,Nuts,374,1,1
3125,"Anthony Long",62,Non-binary,1963-12-20,Milan,Italy,86138.72,86.14,Widowed,Retired,5,Master,Poor,1.59,112.61,44.54,0,0,O+,1,Never,2021-07-19,anthony.long@hotmail.com,+390676363578,None,663,1,0
3126,"Matthew Daniels",63,Male,1962-11-17,"Abu Dhabi","United Arab Emirates",123679.27,123.68,Married,Retired,4,PhD,Good,1.78,76.79,24.24,0,0,B+,0,Occasionally,2022-04-01,matthew.daniels@yahoo.com,+971135353107,Pollen,533,0,0
3127,"Michael Flowers",65,Male,1960-07-05,Hamburg,Germany,136390.89,136.39,Divorced,NULL,0,Bachelor,Good,1.76,103.77,33.50,0,0,B+,1,Often,2023-11-01,michael.flowers@hotmail.com,+494053969313,None,405,1,1
3128,"Frank Hudson",25,Non-binary,2000-01-20,Osaka,Japan,135989.14,135.99,Married,Self-employed,3,Master,Fair,1.61,115.08,44.40,1,0,AB-,0,Rarely,2021-02-08,frank.hudson@yahoo.com,+816968488108,Dairy,410,0,0
3129,"Tara Wood",25,Female,2000-01-02,Milan,Italy,111177.81,111.18,Married,Self-employed,2,Bachelor,Excellent,1.89,87.50,24.50,1,1,AB+,1,Often,2023-04-09,tara.wood@gmail.com,+396368667723,Shellfish,655,0,0
3130,"Justin Martinez",NULL,NULL,1995-06-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3131,"Carly Miller",NULL,NULL,2005-09-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,carly.miller@gmail.com,NULL,NULL,NULL,NULL,NULL
3132,"Jacqueline Howell",24,Female,2001-04-24,"Abu Dhabi","United Arab Emirates",87865.32,87.87,Married,Self-employed,2,Bachelor,Fair,1.75,84.21,27.50,0,0,A+,1,Never,2023-10-25,jacqueline.howell@gmail.com,+971177834748,Pollen,395,1,0
3133,"Whitney Barnes",39,Female,1986-08-24,Hamburg,Germany,66782.57,66.78,Divorced,Unemployed,5,Master,Excellent,1.84,63.62,18.79,1,1,B+,1,Never,2021-02-02,whitney.barnes@outlook.com,+492594718170,Nuts,839,1,0
3134,"Keith Cruz",51,Male,1974-02-21,"Abu Dhabi","United Arab Emirates",62338.63,62.34,Divorced,Employed,0,Bachelor,Excellent,1.98,57.26,14.61,1,1,B-,1,Occasionally,2023-07-12,keith.cruz@gmail.com,+971152475184,Shellfish,607,1,1
3135,"Laura Spencer",68,Female,1957-10-23,Beijing,China,135734.79,135.73,Married,Retired,1,Master,Poor,1.97,94.15,24.26,0,0,B-,0,Rarely,2023-12-14,NULL,+8699489889166,Dairy,715,0,0
3136,"Keith Ramsey",62,Male,1963-01-01,Vancouver,Canada,94153.02,94.15,Married,Retired,5,PhD,Excellent,1.65,98.50,36.18,1,0,B+,1,Often,2022-10-27,keith.ramsey@yahoo.com,+15967576539,Nuts,574,1,1
3137,"Christopher Frank",41,"Prefer not to say",1984-01-16,Mumbai,India,90555.95,90.56,Widowed,Self-employed,2,Master,Fair,1.87,86.14,24.63,0,0,A+,0,Often,2020-08-27,christopher.frank@gmail.com,+914858737242,Nuts,471,1,1
3138,"David Willis",71,Male,1954-06-10,Beijing,China,108033.83,108.03,Married,Retired,4,Master,Good,1.97,119.59,30.82,1,0,B-,1,Never,2023-01-11,david.willis@yahoo.com,+8622867023855,Nuts,382,0,0
3139,"Sarah Reed",28,Female,1997-03-24,Vancouver,Canada,131234.09,131.23,Married,Unemployed,2,Bachelor,Good,1.60,100.29,39.18,0,0,O-,1,Never,2021-07-08,sarah.reed@outlook.com,+19011211509,Shellfish,731,1,0
3140,"Alicia Mitchell",66,Non-binary,1959-02-22,Sydney,Australia,54565.95,54.57,Married,Retired,5,NULL,Good,1.91,80.01,21.93,0,0,B-,0,Often,2020-12-01,alicia.mitchell@gmail.com,+61229575732,Shellfish,398,1,1
3141,"James Cuevas",47,Male,1978-02-11,Bangkok,Thailand,83336.25,83.34,Married,NULL,1,PhD,Fair,1.82,84.08,25.38,0,0,O-,1,Rarely,2020-09-07,james.cuevas@outlook.com,NULL,None,708,1,0
3142,"Jaime Perez",66,Female,1959-08-05,Vancouver,Canada,84768.36,84.77,Divorced,Retired,0,Master,Good,1.51,87.73,38.48,0,0,O+,1,Rarely,2021-12-22,jaime.perez@yahoo.com,+14206412186,Dairy,310,0,1
3143,"Brittany Williams",NULL,Female,1987-02-27,"Chiang Mai",Thailand,125701.32,125.70,Widowed,Unemployed,4,Bachelor,Excellent,NULL,61.49,NULL,1,1,B+,1,Occasionally,2021-01-14,brittany.williams@gmail.com,+66473450025,None,686,1,0
3144,"Tiffany Mcgee",48,Female,1977-03-30,Melbourne,Australia,95743.42,95.74,Married,Employed,3,PhD,Good,1.72,105.89,35.79,1,1,A-,0,Never,2020-08-06,tiffany.mcgee@gmail.com,+61299967063,Dairy,447,1,1
3145,"Cory Palmer",75,Male,1950-03-20,Birmingham,"United Kingdom",32175.24,32.18,Married,Retired,5,PhD,Good,1.83,114.61,34.22,0,NULL,B-,0,Rarely,2023-06-11,cory.palmer@hotmail.com,+447412586603,Shellfish,636,0,1
3146,"David Dennis",41,Male,1984-01-25,Tokyo,Japan,105889.13,105.89,Widowed,Self-employed,0,NULL,Poor,1.54,96.89,40.85,0,0,O-,1,Never,2022-03-07,david.dennis@gmail.com,+817655561648,Shellfish,372,0,0
3147,"Jill Kane",NULL,NULL,1956-08-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,jill.kane@outlook.com,NULL,NULL,NULL,NULL,NULL
3148,"Levi Lewis",38,Male,1987-06-02,Moscow,Russia,63735.62,63.74,Widowed,Unemployed,1,PhD,Fair,1.93,67.45,18.11,1,0,AB-,0,Rarely,2023-04-12,levi.lewis@outlook.com,+70574030270,Shellfish,605,1,0
3149,"Travis Jimenez",56,Male,1969-11-07,Munich,Germany,138021.59,138.02,Divorced,Unemployed,5,Bachelor,Good,1.53,70.68,30.19,0,0,B-,1,Often,2021-02-16,travis.jimenez@outlook.com,+492877049926,Dairy,551,1,1
3150,"Susan Daniels",60,Female,1965-04-02,Milan,Italy,32760.17,32.76,Married,NULL,4,Master,Good,1.88,98.93,27.99,1,0,B+,1,Never,2021-03-07,NULL,+394236761671,Pollen,632,0,0
3151,"Matthew Bush",54,Male,1971-07-15,"New York","United States",39115.59,39.12,Divorced,Self-employed,2,Master,Good,1.83,108.74,32.47,0,0,AB-,1,Often,2023-10-21,matthew.bush@yahoo.com,+13477390366,Dairy,308,1,0
3152,"Joseph Beard",34,Male,1991-07-11,Singapore,Singapore,61934.39,61.93,Widowed,Employed,0,PhD,Poor,1.64,86.16,32.03,1,0,A+,1,Rarely,2021-08-08,joseph.beard@yahoo.com,+6502390065,Shellfish,714,1,1
3153,"Angela Rios",NULL,NULL,1991-11-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,angela.rios@yahoo.com,NULL,NULL,NULL,NULL,NULL
3154,"Matthew Bond",31,Non-binary,1994-05-06,Manchester,"United Kingdom",42735.78,42.74,Divorced,Employed,0,Bachelor,Poor,1.79,77.27,24.12,0,0,A-,0,Occasionally,2023-10-30,matthew.bond@yahoo.com,+449401591287,Nuts,453,0,1
3155,"John Wright",NULL,Male,1991-11-26,Rome,Italy,121191.14,121.19,Married,Self-employed,4,Bachelor,Poor,1.72,NULL,NULL,1,0,O+,0,Often,2023-03-03,john.wright@outlook.com,+398179293855,Pollen,707,1,0
3156,"Jocelyn Miller",58,Female,1967-04-12,Tokyo,Japan,64886.57,64.89,Widowed,Self-employed,0,PhD,Good,1.84,NULL,NULL,1,1,O+,1,Often,2020-10-28,jocelyn.miller@outlook.com,+813633682604,None,832,0,1
3157,"Nicole Clark",41,Non-binary,1984-02-27,Vancouver,Canada,122603.55,122.60,Single,Self-employed,0,Master,Fair,1.95,58.43,15.37,1,0,AB+,1,Occasionally,2021-10-23,nicole.clark@yahoo.com,+13167722183,Pollen,844,0,0
3158,"Richard Welch",72,Male,1953-05-30,Rome,Italy,55103.53,55.10,Single,NULL,0,NULL,Fair,1.90,53.34,14.78,1,1,B+,1,Rarely,2020-01-17,richard.welch@yahoo.com,+390093207874,Dairy,777,1,0
3159,"Nichole Simmons",34,Female,1991-03-07,Phoenix,"United States",91939.53,91.94,Divorced,Unemployed,2,Master,Excellent,1.55,60.38,25.13,1,0,O+,1,Never,2021-02-19,nichole.simmons@gmail.com,+13207759196,Shellfish,578,0,0
3160,"Jackie Johnson",28,Non-binary,1997-05-30,Beijing,China,56937.00,56.94,Widowed,Employed,4,Bachelor,Good,1.97,61.10,15.74,1,1,O+,0,Never,2023-06-18,jackie.johnson@outlook.com,+8603052060169,Nuts,303,1,0
3161,"Samantha Thompson",67,Female,1958-10-25,Singapore,Singapore,107044.35,107.04,Married,Retired,-1,PhD,Good,1.77,62.33,19.90,0,0,AB+,1,Never,2021-12-07,samantha.thompson@yahoo.com,+6542653301,Nuts,313,0,0
3162,"Benjamin Shannon",73,Male,1952-01-18,Sydney,Australia,141050.76,141.05,Married,Retired,0,Master,Excellent,1.59,110.23,43.60,0,NULL,AB+,1,Never,2021-02-24,benjamin.shannon@hotmail.com,+61341771384,None,316,1,0
3163,"Sherry Watson",64,Female,1961-10-05,Sydney,Australia,65126.21,65.13,Married,Retired,0,PhD,Excellent,1.94,60.73,16.14,1,0,O+,0,Often,2020-10-04,sherry.watson@outlook.com,+61022971716,Shellfish,819,1,0
3164,"Nicholas Jones",64,Male,1961-07-21,Osaka,Japan,43655.17,43.66,Married,Retired,0,Master,Poor,1.66,71.75,26.04,0,0,A-,0,Rarely,2022-04-03,nicholas.jones@hotmail.com,+812590398134,Dairy,700,1,1
3165,"Judy Lee",53,Female,1972-05-20,Bangkok,Thailand,72131.13,72.13,Widowed,Self-employed,2,Master,Fair,1.52,90.81,39.30,0,0,O-,1,Occasionally,2021-01-05,judy.lee@outlook.com,+66513947910,None,770,1,1
3166,"Susan Wells",27,Non-binary,1998-03-07,Osaka,Japan,72547.17,72.55,Divorced,Unemployed,0,Bachelor,Poor,1.50,107.71,47.87,0,0,O+,1,Occasionally,2022-12-17,susan.wells@yahoo.com,+818799637800,Nuts,394,1,1
3167,"Jonathan Rios",50,Male,1975-12-24,Houston,"United States",136365.42,136.37,Married,Unemployed,3,Master,Excellent,1.77,67.86,21.66,0,0,B+,0,Often,2022-09-25,jonathan.rios@yahoo.com,+18909966999,Nuts,452,1,1
3168,"Cynthia Cooper",NULL,NULL,1984-12-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,cynthia.cooper@yahoo.com,NULL,NULL,NULL,NULL,NULL
3169,"Shannon Anderson",47,Female,1978-02-04,"Abu Dhabi","United Arab Emirates",102308.39,102.31,Married,Unemployed,2,Master,Poor,NULL,89.81,NULL,0,0,O+,0,Rarely,2020-04-29,shannon.anderson@yahoo.com,+971072111698,None,627,1,0
3170,"Matthew Reed",53,Non-binary,1972-12-30,"Los Angeles","United States",90951.29,90.95,Divorced,Self-employed,4,PhD,Fair,1.88,NULL,NULL,0,NULL,O-,0,Occasionally,2020-02-12,matthew.reed@gmail.com,+18415937856,Dairy,389,0,0
3171,"Martha Walter",NULL,Female,1960-04-10,Toronto,Canada,129923.49,129.92,Married,Retired,0,Master,Fair,1.91,86.64,23.75,0,0,AB+,0,Never,2023-10-22,martha.walter@yahoo.com,NULL,Nuts,456,0,1
3172,"Matthew Stewart",26,Male,1999-08-04,Bangkok,Thailand,143765.20,143.77,Divorced,Self-employed,4,Bachelor,Good,1.59,112.61,44.54,0,0,A+,1,Occasionally,2022-09-27,matthew.stewart@gmail.com,+66372234386,Dairy,458,0,1
3173,"Yvonne Barnes",50,Female,1975-01-21,Melbourne,Australia,62253.57,62.25,Widowed,NULL,3,PhD,Fair,1.75,116.89,38.17,1,0,AB-,0,Occasionally,2021-04-19,yvonne.barnes@yahoo.com,+61483274355,None,756,1,0
3174,"Wanda Reyes",38,Female,1987-11-18,"New York","United States",64808.56,64.81,Married,Employed,1,Bachelor,Excellent,1.91,71.13,19.50,0,0,B+,0,Occasionally,2021-03-19,wanda.reyes@yahoo.com,+11277596528,None,844,1,0
3175,"Patricia Young",57,Female,1968-04-16,Birmingham,"United Kingdom",125589.10,125.59,Divorced,Unemployed,0,Bachelor,Excellent,1.57,102.10,41.42,1,1,O-,0,Rarely,2023-03-23,patricia.young@hotmail.com,+448741287944,Shellfish,761,0,1
3176,"Melody Smith",24,Female,2001-08-21,Osaka,Japan,125259.74,125.26,Widowed,Self-employed,0,"High School",Excellent,1.53,73.86,31.55,0,0,O+,0,Rarely,2022-08-27,melody.smith@outlook.com,+810165185091,Pollen,427,1,0
3177,"George Brady",52,"Prefer not to say",1973-04-13,Osaka,Japan,125633.75,125.63,Widowed,Self-employed,0,Master,Good,1.56,70.98,29.17,0,0,A+,0,Occasionally,2020-11-16,george.brady@outlook.com,+816800093358,Pollen,735,1,1
3178,"Michelle Garcia",25,Non-binary,2000-07-04,"Abu Dhabi","United Arab Emirates",84811.55,84.81,Married,Unemployed,5,Bachelor,Excellent,1.61,100.34,38.71,1,0,AB-,1,Rarely,2020-07-07,michelle.garcia@yahoo.com,+971859365922,Dairy,458,1,0
3179,"Julia Shelton",55,Female,1970-02-07,"Chiang Mai",Thailand,141160.44,141.16,Married,Employed,0,Master,Good,1.90,109.10,30.22,0,0,O+,0,Rarely,2022-09-26,julia.shelton@yahoo.com,+66610993223,Shellfish,333,1,0
3180,"Michael Williamson",31,Male,1994-10-06,Chicago,"United States",92763.46,92.76,Divorced,Employed,3,Master,Fair,1.95,58.49,15.38,1,0,O+,0,Rarely,2020-07-08,michael.williamson@yahoo.com,+11700942549,Pollen,420,1,0
3181,"Mr. Daniel Campos",49,Male,1976-07-23,Hamburg,Germany,55190.26,55.19,Single,Self-employed,0,Master,Poor,1.93,61.60,16.54,0,0,O+,1,Occasionally,2023-02-12,mr..campos@hotmail.com,+497848436734,Pollen,672,0,1
3182,"Bruce Turner",30,Male,1995-06-27,Birmingham,"United Kingdom",62963.86,62.96,Widowed,NULL,0,Master,Fair,1.53,83.01,35.46,1,1,A+,1,Never,2020-08-16,bruce.turner@yahoo.com,+442329886837,Nuts,376,1,1
3183,"Michael Jackson",36,Male,1989-11-08,Manchester,"United Kingdom",64566.07,64.57,Single,Self-employed,0,Master,Poor,NULL,98.29,NULL,0,0,B+,0,Occasionally,2022-05-25,michael.jackson@yahoo.com,+446655058860,None,453,0,0
3184,"Michael Hernandez",26,Male,1999-05-15,Berlin,Germany,75941.12,75.94,Widowed,Unemployed,3,Master,Fair,1.66,89.91,32.63,1,1,AB-,0,Occasionally,2023-02-17,NULL,+493765490160,Nuts,837,1,1
3185,"Krystal Armstrong",54,"Prefer not to say",1971-01-17,Rome,Italy,32046.70,32.05,Married,Self-employed,0,Master,Poor,1.91,71.38,19.57,1,1,A-,0,Rarely,2023-01-06,krystal.armstrong@gmail.com,+391487509349,Dairy,420,1,1
3186,"Ashley Walker",60,Female,1965-05-16,Moscow,Russia,117216.58,117.22,Married,Retired,4,NULL,Excellent,1.69,85.79,30.04,1,1,B+,1,Often,2020-02-09,ashley.walker@outlook.com,NULL,Dairy,513,0,1
3187,"Stephanie Wheeler",53,Female,1972-08-15,Lyon,France,95423.18,95.42,Divorced,Self-employed,0,NULL,Poor,1.78,51.24,16.17,1,0,B+,0,Never,2020-01-25,stephanie.wheeler@yahoo.com,+33248247050,Shellfish,654,1,0
3188,"Keith Case",31,Male,1994-03-28,"Saint Petersburg",Russia,39608.87,39.61,Single,Unemployed,5,PhD,Excellent,1.66,110.94,40.26,1,0,AB-,0,Rarely,2023-10-15,keith.case@outlook.com,+78787631907,Dairy,752,0,0
3189,"Brian Lopez",46,Non-binary,1979-03-06,Paris,France,39138.57,39.14,Married,Self-employed,0,Master,Poor,1.67,70.10,25.14,1,1,A-,0,Often,2023-08-10,brian.lopez@gmail.com,+33297658914,Nuts,656,1,1
3190,"Kayla Hansen",60,"Prefer not to say",1965-10-29,Phoenix,"United States",87599.46,87.60,Married,Retired,2,NULL,Poor,1.82,87.46,26.40,0,0,A+,1,Often,2020-02-22,kayla.hansen@gmail.com,+14060446379,Shellfish,784,1,1
3191,"Larry Paul",34,Male,1991-01-15,Shanghai,China,62473.16,62.47,Married,Unemployed,1,Bachelor,Good,1.54,61.21,25.81,1,1,O+,0,Never,2023-12-25,larry.paul@hotmail.com,+8641673588482,Shellfish,476,1,1
3192,"Tina Flynn",36,Non-binary,1989-01-26,Hamburg,Germany,84307.88,84.31,Single,Employed,0,Bachelor,Excellent,1.81,NULL,NULL,1,1,B+,0,Occasionally,2023-06-13,tina.flynn@outlook.com,+494820476812,Shellfish,372,1,0
3193,"Stephen Mathews",31,Male,1994-10-11,"Abu Dhabi","United Arab Emirates",143722.54,143.72,Divorced,Employed,3,Bachelor,Excellent,1.78,76.56,24.16,1,0,O-,1,Rarely,2023-01-18,stephen.mathews@outlook.com,+971701766278,None,651,0,1
3194,"Tony Hughes",41,Non-binary,1984-04-22,Chicago,"United States",76834.60,76.83,Single,Unemployed,0,Master,Good,1.87,59.92,17.14,0,0,A-,1,Often,2021-10-05,tony.hughes@outlook.com,+13059723204,Pollen,697,1,1
3195,"Tara Payne",NULL,Female,2002-09-20,Rome,Italy,93296.00,93.30,Single,Unemployed,0,"High School",Fair,1.70,52.07,18.02,0,0,AB+,0,Rarely,2022-05-01,tara.payne@hotmail.com,+396882613614,Shellfish,301,1,1
3196,"Patricia Wood",23,Female,2002-04-17,Lyon,France,147511.59,147.51,Widowed,Employed,4,NULL,Good,1.78,117.04,36.94,0,0,O+,0,Rarely,2023-06-01,patricia.wood@yahoo.com,+33619734325,Shellfish,645,1,1
3197,"Bryan Abbott",31,Male,1994-02-19,Hamburg,Germany,144064.56,144.06,Single,Unemployed,-5,Master,Poor,1.97,112.28,28.93,1,1,A+,1,Occasionally,2020-06-11,bryan.abbott@outlook.com,+499282452868,Dairy,401,1,1
3198,"Molly Barnes",47,Female,1978-01-23,Dubai,"United Arab Emirates",77108.89,77.11,Single,Employed,0,Master,Good,1.98,NULL,NULL,0,0,A-,1,Never,2021-09-26,molly.barnes@gmail.com,+971427048765,None,604,1,0
3199,"Morgan Long",40,Non-binary,1985-08-23,Singapore,Singapore,82882.27,82.88,Married,Self-employed,1,Bachelor,Excellent,1.70,109.92,38.03,0,0,A-,0,Often,2022-02-24,morgan.long@hotmail.com,+6573676721,Pollen,441,0,0
3200,"Jessica Herrera",75,Female,1950-02-06,Beijing,China,44894.72,44.89,Married,Retired,4,PhD,Excellent,1.52,93.56,40.50,0,0,B-,1,Never,2021-02-13,jessica.herrera@outlook.com,+8671254817407,Dairy,648,1,0
3201,"Isaiah Price",70,"Prefer not to say",1955-03-08,Paris,France,60735.39,60.74,Married,Retired,1,Master,Fair,1.90,119.79,33.18,0,0,O+,1,Often,2021-10-01,isaiah.price@hotmail.com,+33081445395,None,696,1,1
3202,"Donald Sims",55,"Prefer not to say",1970-11-19,"Abu Dhabi","United Arab Emirates",37428.16,37.43,Single,Employed,0,PhD,Excellent,1.94,70.60,18.76,0,0,B+,1,Rarely,2021-05-02,donald.sims@gmail.com,+971800610209,Shellfish,573,0,1
3203,"Brady Rios",29,Male,1996-10-10,"Chiang Mai",Thailand,81196.50,81.20,Single,Unemployed,0,Bachelor,Fair,1.72,91.84,31.04,0,0,O-,1,Occasionally,2021-10-22,brady.rios@gmail.com,+66818745522,Pollen,753,0,0
3204,"Evan Torres",59,Male,1966-06-08,Melbourne,Australia,119934.08,119.93,Married,Self-employed,4,Bachelor,Good,1.66,70.90,25.73,0,0,B+,0,Rarely,2020-02-24,evan.torres@gmail.com,+61739459744,Nuts,479,0,0
3205,"Rose Martinez",50,"Prefer not to say",1975-08-20,Shanghai,China,46068.53,46.07,Divorced,Unemployed,0,PhD,Good,1.87,94.53,27.03,1,0,B-,1,Often,2021-02-02,rose.martinez@outlook.com,+8618647051458,Nuts,565,0,0
3206,"Robert Kelley",22,Male,2003-10-18,Singapore,Singapore,75361.29,75.36,Single,Employed,0,Bachelor,Excellent,1.99,110.28,27.85,1,1,O-,0,Rarely,2020-11-24,robert.kelley@hotmail.com,+6526409654,Shellfish,567,1,1
3207,"Jessica Sexton",68,Non-binary,1957-10-28,Houston,"United States",149027.54,149.03,Widowed,Retired,1,PhD,Poor,1.59,50.01,19.78,1,1,A-,0,Rarely,2020-05-30,jessica.sexton@yahoo.com,+11924646155,None,453,0,1
3208,"David Owens",25,Male,2000-12-25,Birmingham,"United Kingdom",109912.34,109.91,Divorced,Unemployed,0,Master,Good,1.91,79.69,21.84,1,0,AB-,1,Occasionally,2022-01-02,david.owens@gmail.com,+449404666115,None,813,1,1
3209,"Sheila Butler",21,Female,2004-02-08,Munich,Germany,111837.39,111.84,Single,Unemployed,0,Bachelor,Fair,1.59,110.38,43.66,0,0,B-,1,Never,2022-11-17,sheila.butler@yahoo.com,+491564210049,Nuts,762,1,0
3210,"Sarah Bennett",NULL,Female,1989-10-05,Birmingham,"United Kingdom",38547.51,38.55,Married,Self-employed,0,PhD,Excellent,1.51,56.71,24.87,1,0,O-,1,Occasionally,2023-03-25,sarah.bennett@hotmail.com,+447973514583,Shellfish,455,0,0
3211,"Heather Allen",47,Female,1978-11-07,"Los Angeles","United States",134954.82,134.95,Married,Unemployed,0,Master,Poor,NULL,68.87,NULL,0,0,AB+,0,Never,2022-04-29,heather.allen@yahoo.com,+17753453705,Pollen,344,1,1
3212,"Destiny Sims",33,Non-binary,1992-02-16,Bangalore,India,147768.66,147.77,Divorced,Employed,0,Bachelor,Poor,1.53,112.25,47.95,1,1,A+,0,Rarely,2023-12-22,destiny.sims@hotmail.com,+913744091205,Pollen,339,1,1
3213,"Michelle Peters",72,Non-binary,1953-05-18,"New York","United States",114113.75,114.11,Widowed,Retired,0,Bachelor,Poor,1.83,98.99,29.56,1,0,AB+,1,Often,2021-09-11,michelle.peters@yahoo.com,+19616860237,Nuts,625,1,0
3214,"Beth Duke",45,Non-binary,1980-10-17,Munich,Germany,91203.19,91.20,Widowed,Self-employed,0,Master,Good,1.78,114.94,36.28,0,0,A-,0,Rarely,2020-08-27,beth.duke@yahoo.com,+498114772432,Shellfish,429,1,1
3215,"Jacob Garcia",45,Non-binary,1980-06-24,Birmingham,"United Kingdom",98232.69,98.23,Single,Self-employed,0,PhD,Excellent,1.96,106.07,27.61,1,1,AB+,0,Rarely,2022-05-24,jacob.garcia@hotmail.com,+446651276523,Pollen,698,1,1
